"","number_of_peptides_A_3","number_of_peptides_A_2","number_of_peptides_B_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"2696",15,16,17,20,9,15
"2697",7,6,3,6,4,8
"2698",6,6,7,5,6,7
"2699",14,16,15,16,16,14
"2700",13,11,15,10,12,10
"2701",8,7,9,4,7,4
"2703",9,8,8,9,7,6
"2704",5,4,8,6,6,7
"2705",6,7,7,6,8,7
"2709",4,5,5,7,5,7
"2710",12,11,13,13,13,11
"2712",13,12,11,9,10,15
"2715",23,20,23,23,22,24
"2717",7,4,6,5,6,6
"2720",6,6,6,6,4,7
"2721",14,13,12,12,14,12
"2722",14,15,11,11,11,12
"2725",25,22,26,26,24,23
"2726",22,18,22,17,19,21
"2727",2,2,3,2,2,2
"2729",13,13,14,13,11,13
"2731",19,19,21,20,19,18
"2732",5,4,4,5,4,4
"2734",7,5,5,7,6,4
"2735",5,6,7,9,8,6
"2737",7,9,6,7,7,9
"2738",9,5,5,4,5,4
"2739",7,7,6,5,3,8
"2742",8,4,4,7,4,4
"2744",13,11,8,8,6,10
"2747",2,1,3,3,3,4
"2750",9,9,12,12,10,10
"2755",5,3,6,7,6,7
"2756",10,11,14,8,11,11
"2759",13,14,12,12,11,11
"2760",12,12,14,18,15,13
"2763",12,10,8,8,9,18
"2764",9,12,10,5,10,8
"2768",18,14,15,14,20,18
"2770",5,4,8,8,8,5
"2773",9,7,3,4,3,6
"2774",7,9,10,6,10,7
"2775",9,9,7,8,11,11
"2776",10,9,10,10,7,12
"2777",15,16,20,17,18,16
"2778",11,11,15,14,11,10
"2779",6,6,8,6,8,6
"2782",10,10,9,9,11,8
"2785",10,9,19,23,18,11
"2789",13,16,16,17,13,14
"2790",16,15,18,17,18,13
"2792",2,2,6,4,4,3
"2796",9,11,10,10,10,12
"2797",4,5,4,3,4,6
"2799",18,21,16,21,17,17
"2802",9,7,7,5,6,8
"2805",17,13,16,15,17,15
"2807",6,4,4,5,7,7
"2808",7,13,7,8,8,12
"2809",4,4,4,4,3,3
"2810",7,6,7,5,7,5
"2812",24,22,24,26,21,23
"2813",13,15,15,15,15,15
"2817",8,7,7,6,6,8
"2818",24,30,31,33,26,24
"2820",9,13,13,13,9,10
"2824",18,16,18,15,10,17
"2826",8,8,9,7,8,8
"2827",6,4,5,7,4,5
"2829",3,4,2,2,1,2
"2830",6,4,5,5,3,5
"2832",27,23,16,15,18,24
"2833",6,7,10,9,10,10
"2836",10,14,10,9,11,9
"2838",4,4,6,6,4,4
"2839",13,13,15,16,14,12
"2841",10,9,9,14,13,11
"2842",5,7,6,8,6,5
"2843",10,9,11,10,9,7
"2845",5,4,5,4,5,5
"2850",10,10,9,9,5,8
"2852",16,17,15,15,19,16
"2854",8,7,7,7,7,9
"2868",17,14,17,18,16,13
"2869",7,6,9,8,11,10
"2871",8,7,8,8,9,5
"2873",8,8,6,7,6,8
"2875",8,8,9,6,9,8
"2877",8,9,9,11,12,9
"2879",7,8,7,7,7,7
"2880",5,6,5,6,3,6
"2881",8,7,8,8,7,7
"2884",8,9,12,13,10,9
"2885",11,10,11,9,9,10
"2886",1,1,1,1,1,1
"2887",10,13,11,12,15,14
"2889",13,10,10,6,8,10
"2890",8,12,8,6,11,11
"2891",13,10,7,11,8,13
"2892",4,4,5,4,4,4
"2897",13,8,15,8,11,8
"2898",19,17,14,13,10,15
"2899",11,11,9,6,10,9
"2904",8,8,7,8,9,8
"2906",10,9,8,10,10,8
"2907",12,13,13,15,12,13
"2909",11,13,12,14,9,10
"2911",5,5,5,3,4,4
"2912",35,36,37,39,36,36
"2913",8,9,9,10,8,9
"2915",5,5,3,3,5,5
"2916",4,4,4,4,4,5
"2917",25,27,28,24,25,27
"2919",4,4,3,5,3,3
"2924",11,7,11,8,8,10
"2928",16,18,17,20,16,17
"2930",3,5,6,6,6,5
"2933",3,3,2,3,3,3
"2935",3,2,4,5,1,2
"2942",16,14,17,15,18,17
"2944",2,2,2,2,4,2
"2946",18,13,15,20,20,17
"2949",6,5,6,5,6,5
"2952",4,5,7,6,7,9
"2954",13,13,8,6,7,11
"2956",3,6,5,5,6,5
"2957",11,12,11,10,7,10
"2958",8,9,7,9,10,13
"2959",6,4,4,4,4,5
"2963",12,11,12,13,11,9
"2964",10,9,8,7,11,8
"2965",6,9,8,5,6,8
"2968",8,9,10,8,7,9
"2970",12,12,11,7,12,18
"2975",6,8,5,7,6,7
"2976",4,8,9,7,5,4
"2977",6,5,4,5,5,7
"2978",10,9,9,9,11,7
"2979",15,14,16,17,14,14
"2982",6,4,5,4,6,4
"2986",8,6,8,6,6,6
"2987",2,2,4,4,3,3
"2992",13,13,16,12,14,13
"2994",9,10,9,8,8,5
"2996",9,4,6,6,8,6
"2997",20,18,19,20,20,20
"3000",24,26,24,26,31,25
"3001",15,13,7,9,9,13
"3004",12,8,13,10,12,11
"3005",8,6,6,3,5,6
"3009",12,12,11,10,10,13
"3012",16,11,11,9,10,17
"3018",10,9,11,8,8,8
"3022",12,8,8,4,8,8
"3025",5,5,6,3,2,3
"3026",33,32,32,32,30,29
"3027",10,15,18,12,13,13
"3029",9,10,5,6,4,6
"3030",13,17,12,11,13,16
"3031",10,8,7,7,8,6
"3032",6,7,6,8,3,9
"3033",7,10,8,11,6,8
"3035",3,4,3,4,3,4
"3037",7,6,9,8,6,4
"3044",2,4,4,2,3,3
"3047",10,9,11,12,10,9
"3048",9,8,8,8,4,8
"3049",8,11,8,5,6,10
"3050",9,11,6,9,9,12
"3054",7,7,7,7,7,8
"3057",14,13,13,13,15,13
"3058",5,4,6,6,5,6
"3060",5,4,5,5,5,4
"3061",11,9,9,10,9,9
"3064",9,12,9,12,11,9
"3067",8,4,5,5,6,5
"3068",13,9,11,8,11,7
"3069",9,6,6,7,5,9
"3070",10,11,9,9,8,11
"3073",4,4,4,4,3,3
"3074",12,13,16,17,16,15
"3075",13,12,14,11,13,12
"3080",20,21,16,19,18,24
"3082",4,6,5,7,6,5
"3091",5,4,3,3,4,4
"3092",6,6,5,3,5,6
"3093",4,4,5,4,4,4
"3095",12,11,14,16,16,13
"3096",4,5,7,6,5,5
"3098",9,6,13,10,11,10
"3099",4,7,4,5,6,6
"3102",9,9,11,7,7,6
"3105",4,4,4,5,3,3
"3107",8,9,7,8,9,6
"3109",7,6,7,5,8,6
"3112",12,8,14,10,13,10
"3115",16,11,9,7,8,12
"3117",8,6,7,10,7,7
"3118",8,8,8,6,9,11
"3120",11,14,14,15,14,13
"3122",9,8,6,8,6,7
"3123",12,11,9,8,10,12
"3130",7,8,9,8,8,8
"3131",8,10,8,10,11,10
"3133",2,1,3,2,2,3
"3134",6,4,4,6,7,6
"3135",4,5,7,4,5,5
"3136",11,13,12,15,16,17
"3137",13,9,15,11,12,7
"3138",1,5,5,3,3,3
"3140",16,14,16,15,12,15
"3145",24,20,14,12,14,21
"3147",4,4,3,3,4,5
"3148",13,11,15,13,13,13
"3150",9,10,5,9,8,8
"3151",4,5,3,3,6,4
"3152",16,18,21,20,20,17
"3153",3,5,11,14,13,2
"3158",6,7,7,8,8,6
"3159",5,5,4,3,3,3
"3161",6,5,6,7,6,6
"3162",5,8,3,3,5,7
"3164",16,14,16,14,15,12
"3167",5,5,7,6,6,5
"3169",8,7,7,6,4,7
"3170",12,13,9,7,4,16
"3174",15,15,14,17,15,13
"3175",9,14,8,8,13,12
"3178",3,3,3,4,4,5
"3179",7,7,8,7,5,5
"3180",14,14,13,13,12,17
"3181",10,10,10,11,11,9
"3183",8,6,6,5,5,6
"3184",10,9,13,9,12,9
"3186",5,4,2,2,3,3
"3190",5,5,7,7,7,4
"3191",8,7,5,3,5,5
"3194",5,6,6,8,5,5
"3195",13,12,14,12,13,12
"3199",6,6,4,4,4,5
"3202",4,5,4,4,5,6
"3203",2,4,5,3,3,3
"3205",12,9,9,9,12,8
"3206",11,11,12,15,9,14
"3209",9,11,10,10,11,7
"3210",6,7,6,7,6,9
"3212",2,7,2,4,2,1
"3213",7,5,7,3,6,7
"3214",6,4,5,5,5,4
"3216",9,9,3,5,6,10
"3221",6,6,5,5,5,5
"3225",3,3,2,1,1,1
"3226",20,20,13,17,13,22
"3228",4,5,4,3,4,6
"3229",3,4,3,7,4,4
"3233",7,7,4,3,2,7
"3234",14,13,13,11,10,8
"3240",4,3,3,4,2,3
"3241",11,8,9,7,6,8
"3244",10,8,12,10,9,8
"3248",7,7,3,7,7,6
"3250",6,5,8,7,5,6
"3251",12,8,8,10,11,12
"3252",7,9,7,6,8,5
"3253",7,6,7,6,5,7
"3254",9,9,9,8,8,8
"3257",10,15,11,11,8,12
"3260",9,13,6,9,4,15
"3261",3,3,3,3,3,3
"3262",5,8,7,6,5,6
"3265",3,5,6,3,5,3
"3266",7,3,10,7,7,4
"3267",13,10,11,9,9,9
"3268",1,4,2,3,2,4
"3270",10,10,10,10,7,13
"3271",14,11,6,10,11,12
"3275",8,7,5,4,5,6
"3279",15,14,16,17,20,16
"3281",7,7,3,3,4,6
"3283",3,3,3,3,3,3
"3285",5,3,5,4,6,7
"3286",6,7,5,5,7,8
"3295",11,12,9,6,8,12
"3303",3,3,4,4,3,2
"3304",5,6,5,5,5,5
"3308",8,7,6,5,7,9
"3310",9,7,13,9,9,7
"3311",8,7,6,7,6,7
"3312",9,8,9,10,10,10
"3314",9,7,11,12,15,8
"3315",13,10,13,13,15,9
"3319",12,12,7,14,9,12
"3321",6,8,11,10,10,3
"3324",18,18,22,24,21,22
"3332",8,10,14,19,19,8
"3334",6,6,6,6,5,5
"3335",5,8,8,6,7,6
"3338",9,7,7,5,9,9
"3345",15,16,16,19,14,14
"3352",11,9,7,8,6,7
"3354",2,1,1,1,1,1
"3355",9,6,11,10,9,6
"3361",8,5,9,9,10,7
"3362",16,12,8,6,9,17
"3363",2,5,8,6,9,5
"3364",8,10,8,12,9,13
"3369",5,7,5,6,6,5
"3371",9,8,10,7,8,8
"3372",22,23,27,26,23,25
"3374",2,2,5,3,4,5
"3376",8,8,7,10,11,7
"3377",4,4,4,4,3,4
"3382",10,9,8,3,5,8
"3383",4,4,6,7,6,7
"3393",8,5,10,5,7,6
"3397",6,4,4,5,6,5
"3399",7,6,6,6,6,6
"3401",12,12,4,6,9,17
"3402",6,3,10,11,9,3
"3404",11,10,13,9,12,9
"3409",11,11,12,11,9,7
"3410",5,5,8,7,8,6
"3412",9,7,8,8,7,9
"3415",13,12,11,11,8,10
"3416",17,11,14,12,12,15
"3419",4,4,6,4,5,4
"3422",12,11,10,11,12,7
"3424",5,3,6,6,5,4
"3425",6,4,5,3,5,3
"3426",4,4,3,4,3,5
"3427",3,4,4,3,3,4
"3428",4,6,7,6,6,6
"3436",8,11,17,11,14,10
"3441",17,12,16,12,13,11
"3443",5,6,7,6,7,6
"3446",8,8,9,8,10,5
"3448",15,14,17,18,17,12
"3451",5,9,8,9,5,7
"3453",5,3,4,5,3,3
"3456",5,5,5,5,5,5
"3458",20,21,23,23,22,20
"3459",10,12,12,9,14,9
"3465",5,5,5,5,4,5
"3469",11,12,5,6,6,11
"3470",3,4,3,4,4,4
"3472",6,6,7,8,7,7
"3478",8,6,3,2,3,7
"3479",9,15,13,16,17,11
"3481",14,18,7,10,11,14
"3482",7,8,5,4,6,9
"3484",4,3,3,4,3,3
"3486",4,4,3,7,7,7
"3488",13,10,12,12,11,11
"3489",11,7,9,12,12,8
"3494",12,14,4,6,7,11
"3495",5,6,5,9,6,6
"3498",6,5,6,9,7,8
"3499",7,6,5,3,5,6
"3501",5,4,5,3,5,3
"3502",3,5,5,3,3,4
"3506",5,5,7,7,6,6
"3508",7,4,6,5,6,7
"3511",7,6,6,6,7,6
"3513",8,11,9,10,8,8
"3514",13,12,15,10,14,9
"3515",18,19,18,18,19,17
"3517",6,7,8,6,7,5
"3518",4,4,5,5,5,4
"3519",6,5,5,4,6,7
"3531",13,12,15,12,10,12
"3533",11,8,10,12,7,12
"3537",4,5,5,5,8,7
"3543",10,9,7,12,5,11
"3544",5,5,3,2,4,4
"3545",4,8,4,6,4,6
"3547",2,2,1,1,2,1
"3548",4,7,5,4,8,7
"3550",7,8,3,6,8,8
"3551",14,14,9,9,9,14
"3554",17,12,19,17,17,13
"3558",15,11,12,12,10,10
"3560",13,13,10,11,10,12
"3562",7,6,7,7,11,8
"3563",5,6,10,5,8,6
"3564",3,1,3,2,2,2
"3566",4,3,4,5,4,2
"3568",3,4,4,3,4,3
"3572",8,9,7,9,10,9
"3575",9,4,2,2,1,4
"3576",13,11,16,14,14,11
"3578",8,7,9,8,8,8
"3580",8,10,6,6,7,8
"3582",7,11,9,11,11,8
"3583",7,10,5,6,8,7
"3585",3,3,3,3,5,3
"3586",6,5,7,5,9,6
"3588",4,5,4,6,5,3
"3589",6,6,5,9,11,9
"3592",16,15,18,19,16,17
"3594",4,5,5,5,5,3
"3599",13,12,8,11,8,13
"3600",12,12,14,13,12,14
"3604",3,2,6,6,6,2
"3613",7,9,11,12,9,7
"3614",6,4,4,6,6,5
"3616",7,4,7,5,6,7
"3617",7,7,4,4,4,5
"3618",23,16,10,5,7,18
"3619",5,5,4,2,4,5
"3622",13,14,17,15,14,13
"3626",6,7,7,7,8,7
"3628",3,4,3,6,5,3
"3631",7,5,8,7,5,6
"3632",4,4,4,5,7,4
"3635",20,20,18,20,17,16
"3637",2,2,2,2,3,2
"3641",8,8,8,9,7,9
"3642",14,12,10,8,11,11
"3643",9,7,10,5,11,4
"3648",11,9,13,8,12,10
"3649",11,14,12,16,12,13
"3652",8,5,8,7,8,7
"3657",11,10,10,9,10,8
"3658",10,8,9,5,8,8
"3660",6,5,8,5,5,6
"3664",10,7,10,9,9,9
"3668",3,2,3,4,5,3
"3675",8,6,7,6,9,6
"3677",3,3,3,4,3,4
"3679",5,6,4,7,7,5
"3685",10,7,9,7,13,9
"3687",12,14,12,13,8,15
"3691",7,8,11,9,10,9
"3692",2,2,5,4,4,5
"3695",8,6,7,6,5,7
"3696",10,8,5,6,6,7
"3698",12,9,7,7,8,8
"3699",15,11,10,11,10,14
"3702",6,8,9,7,10,10
"3714",8,6,4,4,5,7
"3720",5,4,5,6,8,6
"3722",6,8,4,4,5,7
"3725",9,10,8,11,8,10
"3726",5,5,5,3,8,9
"3730",11,9,10,11,12,11
"3733",3,3,5,5,3,5
"3740",11,12,8,9,12,10
"3748",16,15,22,16,18,17
"3749",7,7,7,8,7,8
"3750",3,2,3,1,3,5
"3752",5,6,8,6,9,6
"3753",8,10,9,9,10,10
"3754",9,8,9,8,9,10
"3760",9,8,6,6,5,7
"3763",6,9,9,9,9,7
"3764",9,12,7,7,10,8
"3765",4,1,2,3,2,2
"3766",5,4,4,4,4,4
"3772",3,3,3,3,3,3
"3774",1,1,1,1,2,1
"3778",12,12,14,14,13,12
"3790",6,5,5,3,4,4
"3792",7,7,7,9,9,8
"3796",13,13,7,6,7,14
"3797",8,5,5,7,6,8
"3798",8,5,6,5,7,4
"3799",7,7,6,5,7,9
"3806",14,15,15,13,15,13
"3807",7,7,7,5,6,4
"3810",8,5,5,8,7,6
"3813",7,5,6,4,6,6
"3815",12,9,10,11,10,11
"3837",9,7,9,9,8,8
"3839",11,12,10,9,8,9
"3840",8,5,10,9,8,6
"3843",8,7,8,7,5,6
"3844",6,5,3,6,3,8
"3847",8,7,6,7,7,5
"3848",6,6,5,5,6,5
"3851",14,13,7,8,4,11
"3853",17,18,13,9,9,16
"3857",6,5,6,5,5,5
"3860",4,5,3,6,3,5
"3861",8,8,8,8,6,7
"3864",4,4,5,4,4,4
"3865",15,15,12,18,16,17
"3866",6,8,3,3,2,7
"3867",3,6,7,4,8,7
"3868",3,3,3,2,4,2
"3870",8,7,5,5,5,8
"3873",3,3,4,3,3,3
"3881",9,6,4,5,6,5
"3882",3,3,4,4,4,2
"3889",4,2,2,2,3,2
"3893",1,1,1,2,1,2
"3894",15,17,11,11,9,16
"3898",5,6,5,4,5,5
"3900",8,5,8,10,10,11
"3902",3,3,3,3,3,3
"3904",2,5,4,5,6,4
"3908",4,4,5,4,4,4
"3911",4,5,7,5,6,5
"3913",11,9,12,9,10,8
"3916",4,5,3,4,1,3
"3918",7,7,9,7,5,5
"3920",12,9,11,10,10,9
"3925",7,6,6,7,8,9
"3926",11,7,10,11,11,9
"3928",2,2,2,2,2,2
"3931",15,6,6,8,9,7
"3933",5,3,4,3,4,3
"3938",8,6,6,4,6,4
"3943",10,12,13,10,11,13
"3944",4,5,5,5,5,5
"3946",3,2,3,2,3,2
"3954",12,12,13,14,13,10
"3955",9,9,13,9,12,8
"3956",7,8,11,8,7,11
"3957",3,3,2,3,3,3
"3960",8,8,7,7,7,7
"3972",5,5,5,6,6,6
"3985",5,6,5,5,5,6
"3989",4,5,4,4,3,4
"3991",6,1,3,2,4,3
"3996",8,8,5,9,5,8
"3998",13,15,7,5,6,13
"3999",9,8,9,6,10,11
"4008",3,5,4,4,3,3
"4011",4,7,6,6,3,6
"4015",5,5,4,4,5,5
"4016",12,10,7,3,5,5
"4018",10,10,9,11,9,9
"4020",7,9,8,9,8,10
"4021",9,11,7,6,5,6
"4023",6,7,6,6,6,6
"4025",10,14,10,9,12,14
"4026",2,1,4,5,5,2
"4030",14,12,13,11,11,15
"4037",8,7,9,7,8,6
"4041",4,3,3,1,3,5
"4044",5,6,8,9,6,8
"4048",5,5,4,4,4,5
"4052",4,4,5,4,5,3
"4053",6,5,7,4,6,5
"4054",5,4,6,3,4,5
"4055",5,6,5,6,5,5
"4058",8,9,8,8,7,9
"4063",15,14,11,12,12,12
"4064",3,3,2,3,3,3
"4069",3,2,5,4,4,5
"4071",5,5,2,2,4,4
"4073",12,11,8,6,6,11
"4074",4,3,3,3,3,2
"4076",6,8,15,11,8,9
"4082",7,8,7,7,8,7
"4085",9,6,8,9,8,10
"4088",7,6,8,7,6,8
"4089",6,4,7,6,7,6
"4092",11,8,15,14,14,9
"4096",3,2,3,3,3,3
"4104",5,7,8,9,5,7
"4105",4,3,3,3,4,3
"4112",5,7,7,4,6,5
"4113",3,3,3,3,3,4
"4114",6,3,4,4,3,4
"4115",3,1,5,6,5,4
"4116",7,7,5,6,4,5
"4117",11,10,15,14,16,13
"4120",20,20,13,12,11,16
"4121",8,6,7,6,5,5
"4124",3,3,3,2,3,2
"4137",4,3,5,5,5,3
"4139",4,3,4,3,3,3
"4141",11,12,6,7,9,11
"4142",6,2,7,4,4,4
"4143",9,8,8,10,8,10
"4145",11,11,9,10,11,10
"4149",7,6,6,5,6,6
"4157",11,9,10,11,9,11
"4158",5,5,4,2,2,4
"4160",2,1,2,1,1,1
"4163",7,7,8,6,5,5
"4164",14,14,12,12,12,11
"4168",5,5,4,5,4,4
"4170",1,1,1,1,1,1
"4171",3,2,4,4,4,4
"4173",2,5,4,4,2,4
"4178",6,3,4,4,2,4
"4180",5,5,4,4,6,4
"4184",2,2,1,1,1,2
"4186",11,10,12,10,14,13
"4189",4,3,9,9,4,3
"4190",9,11,10,13,12,10
"4195",1,1,1,2,1,1
"4208",4,4,5,9,7,4
"4216",8,9,8,7,8,7
"4218",4,5,8,5,4,4
"4231",3,2,7,6,7,2
"4252",4,3,2,2,2,4
"4258",7,6,6,6,7,7
"4259",5,4,5,5,5,5
"4262",6,3,2,5,4,3
"4271",7,6,3,5,4,7
"4272",12,10,15,12,13,7
"4273",7,8,6,4,5,7
"4276",1,4,3,5,5,4
"4284",5,5,5,5,5,5
"4290",8,7,9,8,7,6
"4291",2,4,4,4,3,6
"4295",11,12,13,13,11,13
"4297",8,10,11,10,11,9
"4305",8,6,9,7,6,6
"4308",6,4,9,8,6,5
"4309",7,8,11,5,7,6
"4310",4,3,4,5,4,5
"4314",5,9,8,7,7,7
"4317",6,5,8,7,7,4
"4318",4,7,4,5,5,6
"4321",7,8,7,5,4,5
"4326",9,12,14,13,15,12
"4338",2,3,3,3,3,4
"4345",6,7,6,9,8,8
"4349",6,5,3,3,5,2
"4357",16,16,8,10,7,8
"4361",4,8,4,4,5,5
"4366",11,11,6,7,7,8
"4368",12,11,12,12,11,8
"4372",6,4,3,4,4,4
"4373",5,7,4,5,6,8
"4375",12,8,11,7,9,6
"4378",5,7,7,7,8,7
"4387",1,1,1,1,1,1
"4392",7,5,8,10,9,6
"4394",5,7,4,10,7,6
"4396",5,6,5,4,6,4
"4400",7,5,7,5,9,8
"4402",9,7,8,7,10,7
"4406",8,4,3,5,4,8
"4409",6,4,3,4,4,6
"4415",3,3,4,5,5,3
"4417",3,3,3,3,3,2
"4421",5,3,4,4,5,4
"4426",14,15,15,15,14,17
"4436",2,3,2,1,4,2
"4440",5,8,5,5,5,7
"4441",5,9,9,7,6,8
"4451",2,2,2,2,2,2
"4455",11,8,8,9,9,9
"4457",4,5,4,4,5,4
"4463",6,6,7,9,8,4
"4464",2,2,1,3,3,1
"4468",3,3,4,4,2,3
"4475",10,9,13,12,11,8
"4477",6,3,8,9,4,5
"4483",3,3,3,4,3,4
"4486",4,6,3,3,3,4
"4487",3,3,3,3,3,3
"4491",1,1,1,1,1,1
"4493",4,3,6,6,4,4
"4497",3,1,3,2,1,3
"4510",2,1,2,2,2,1
"4512",9,11,9,8,8,11
"4513",9,9,6,7,7,9
"4514",7,10,8,8,8,5
"4515",5,5,6,2,4,4
"4518",10,11,7,10,15,6
"4520",4,4,5,3,3,3
"4524",6,5,3,5,3,5
"4533",3,3,3,4,3,4
"4540",3,4,3,4,3,3
"4543",6,4,9,6,4,7
"4545",10,9,8,10,9,8
"4547",5,6,6,4,5,6
"4549",9,4,7,7,7,5
"4551",2,4,4,3,5,5
"4561",6,6,7,7,5,8
"4564",5,8,7,11,6,9
"4569",11,12,11,13,12,12
"4570",4,3,3,2,3,4
"4571",6,6,5,5,8,5
"4572",5,6,4,4,5,8
"4584",9,9,8,10,10,9
"4594",5,9,9,10,7,6
"4597",3,5,4,4,3,5
"4602",9,6,3,3,3,8
"4605",7,6,5,6,6,7
"4610",9,7,9,7,6,6
"4613",10,10,8,7,7,10
"4614",9,9,9,10,9,8
"4617",2,4,1,3,3,3
"4620",4,4,4,4,5,4
"4621",4,4,4,4,4,4
"4629",4,4,4,4,4,4
"4630",7,8,10,8,7,9
"4631",9,9,8,5,8,9
"4647",7,7,7,8,7,8
"4650",5,3,6,6,5,5
"4652",5,7,5,7,7,7
"4653",6,7,3,3,4,6
"4655",6,9,9,7,5,7
"4659",7,6,3,7,4,6
"4662",2,4,2,2,3,2
"4668",7,7,8,8,9,7
"4670",7,6,8,9,8,7
"4676",12,13,10,7,7,11
"4680",3,5,3,3,2,5
"4706",5,6,4,4,4,5
"4718",2,4,3,5,4,6
"4719",8,9,8,7,8,10
"4722",4,5,5,7,6,8
"4725",4,4,6,4,6,4
"4728",1,2,1,1,1,2
"4744",3,3,3,2,4,3
"4755",4,1,2,4,4,3
"4756",3,6,5,5,8,5
"4758",3,3,4,4,4,2
"4764",4,3,3,4,3,4
"4775",6,7,5,4,6,5
"4782",2,3,1,1,2,2
"4784",7,6,4,1,3,5
"4789",3,5,4,5,3,4
"4792",1,1,1,2,2,1
"4794",1,1,2,1,2,2
"4795",7,3,7,8,4,3
"4797",5,4,5,5,5,4
"4800",6,3,4,5,4,5
"4823",2,2,2,3,2,2
"4841",4,4,5,2,4,5
"4845",2,2,2,2,1,2
"4854",2,1,5,3,4,3
"4855",3,4,4,5,4,3
"4857",5,8,10,8,4,7
"4859",5,11,8,7,4,3
"4865",3,3,4,5,2,4
"4869",5,4,4,5,3,6
"4879",7,8,9,4,8,8
"4881",5,4,5,6,5,4
"4911",10,8,9,8,6,8
"4915",1,2,2,3,3,3
"4932",8,5,6,6,7,5
"4934",4,4,4,7,7,6
"4943",1,3,2,4,2,1
"4944",5,4,7,7,4,5
"4952",5,6,5,3,3,6
"4953",4,5,6,5,6,8
"4988",6,7,7,6,6,6
"5011",5,5,3,6,3,6
"5023",6,5,8,6,7,6
"5025",7,7,5,7,5,8
"5038",3,3,1,1,1,3
"5051",3,4,2,4,2,3
"5053",8,5,5,4,5,4
"5055",4,6,6,6,7,5
"5058",2,3,2,2,2,2
"5059",1,2,1,2,2,2
"5061",5,5,5,5,2,3
"5064",11,8,8,8,8,11
"5072",4,4,4,4,4,5
"5073",2,4,3,4,3,2
"5091",2,2,3,2,2,2
"5095",4,4,4,3,4,4
"5101",1,2,2,2,2,2
"5102",1,1,1,1,1,1
"5104",6,6,7,6,8,7
"5118",3,3,2,3,3,3
"5122",7,8,10,11,7,8
"5136",2,4,4,4,5,4
"5137",2,2,2,2,5,2
"5138",2,3,2,3,1,3
"5141",4,5,6,6,7,6
"5150",8,8,9,8,5,8
"5151",5,5,9,5,6,5
"5156",4,3,3,4,3,4
"5158",5,3,3,3,4,5
"5162",9,7,8,5,8,8
"5168",3,3,3,4,5,3
"5173",2,2,1,1,1,1
"5176",1,1,1,1,1,2
"5179",1,1,1,1,1,2
"5180",9,5,8,8,8,8
"5181",5,4,5,4,5,3
"5191",5,5,6,8,6,5
"5192",4,4,5,3,4,3
"5199",1,3,1,2,1,1
"5211",3,3,4,4,3,2
"5215",4,4,2,5,4,4
"5222",6,4,5,3,4,3
"5234",1,2,3,2,1,1
"5235",5,4,4,3,3,4
"5238",1,2,1,1,2,1
"5249",3,3,4,4,3,3
"5251",1,1,1,1,1,1
"5258",8,4,5,6,3,7
"5266",6,5,4,4,4,5
"5273",6,6,7,7,6,5
"5274",3,2,4,4,5,2
"5288",2,2,1,1,2,2
"5293",3,3,3,3,3,3
"5310",1,1,1,1,1,1
"5318",2,5,7,4,5,6
"5323",1,2,3,2,2,2
"5330",3,1,3,3,2,2
"5340",3,3,3,3,3,2
"5342",2,2,1,2,3,3
"5344",4,5,6,6,6,6
"5359",4,6,5,3,8,7
"5366",3,3,4,3,4,3
"5374",3,3,2,2,1,3
"5378",3,5,5,4,4,5
"5383",2,2,1,3,3,4
"5385",6,9,6,5,6,7
"5395",4,2,3,2,4,2
"5411",6,5,5,5,6,2
"5437",1,1,1,1,2,3
"5520",4,4,4,4,4,5
"5521",4,4,4,5,4,4
"5522",3,1,3,1,3,2
"5550",2,2,2,2,2,2
"5551",6,5,4,4,2,6
"5576",4,5,4,3,1,5
"5596",3,4,3,4,2,5
"5621",2,3,3,3,2,3
"5651",1,1,1,2,1,1
"5701",2,2,2,3,3,1
"5703",1,1,1,1,1,1
"5706",5,4,6,4,5,5
"5734",2,2,4,1,2,1
"5822",1,1,1,1,1,1
"5823",1,1,1,1,1,1
"5829",1,2,1,1,1,1
