"","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"2130",10,9,9,9,10,10
"2131",3,4,2,3,4,4
"2132",5,6,6,4,4,6
"2133",3,2,3,3,3,3
"2134",5,10,11,10,8,11
"2135",1,3,3,2,2,3
"2136",1,1,1,1,1,1
"2137",6,11,10,8,7,11
"2138",11,11,11,11,11,11
"2139",5,7,6,6,5,6
"2141",6,6,6,7,4,7
"2142",6,8,7,6,5,7
"2143",11,10,11,10,11,11
"2144",1,2,2,2,1,1
"2145",12,13,14,10,8,14
"2148",3,4,3,3,3,4
"2149",1,5,3,3,2,5
"2150",7,10,7,5,6,8
"2151",1,3,3,1,1,2
"2152",1,2,2,2,1,1
"2153",7,7,9,6,6,7
"2154",3,4,4,3,2,4
"2155",1,2,1,2,1,2
"2157",4,4,4,4,4,4
"2158",3,3,2,3,3,2
"2159",2,2,2,2,2,2
"2160",2,3,3,1,1,5
"2161",1,4,2,1,1,3
"2162",4,4,5,4,3,4
"2163",2,2,2,1,1,2
"2164",1,1,1,1,1,1
"2165",14,19,20,14,17,17
"2166",9,9,10,9,8,9
"2168",1,4,3,4,2,4
"2170",2,2,3,1,1,2
"2171",5,5,5,5,6,5
"2172",24,24,24,21,22,24
"2173",4,5,4,4,4,4
"2174",2,3,2,1,3,3
"2176",6,7,6,5,6,7
"2177",3,3,5,3,2,3
"2178",8,8,8,8,8,8
"2179",2,3,3,1,1,4
"2180",4,8,8,3,6,7
"2181",8,11,10,9,9,11
"2182",23,22,22,23,22,20
"2184",8,10,9,10,8,10
"2185",5,6,6,5,5,6
"2186",1,2,2,2,2,2
"2187",3,4,5,4,3,3
"2190",1,3,2,2,2,2
"2191",1,2,1,1,1,1
"2192",8,11,11,8,8,11
"2193",5,6,6,6,7,8
"2194",2,1,2,2,1,1
"2195",9,9,9,9,9,9
"2197",3,4,4,4,4,5
"2199",7,8,10,6,6,8
"2200",3,7,6,5,4,6
"2202",3,4,5,3,3,4
"2203",5,8,12,5,5,6
"2205",1,3,3,2,1,2
"2206",2,4,3,2,3,3
"2207",1,1,1,1,1,1
"2208",12,13,11,10,12,12
"2209",2,2,3,2,2,2
"2211",1,2,1,1,1,1
"2212",2,2,2,2,2,2
"2213",5,5,6,6,4,5
"2214",2,2,2,2,2,2
"2215",5,2,2,4,4,2
"2216",1,3,1,1,1,3
"2217",15,14,13,14,17,15
"2218",2,3,3,4,2,3
"2219",18,24,27,16,18,25
"2220",2,2,3,3,2,3
"2221",6,6,5,5,4,6
"2222",9,10,9,10,10,10
"2223",15,16,15,16,16,16
"2224",6,8,5,6,7,8
"2225",9,8,8,8,9,8
"2226",14,20,17,20,18,18
"2228",3,3,4,3,3,4
"2229",5,5,5,4,4,5
"2230",1,2,2,1,1,2
"2231",2,3,4,1,1,2
"2232",1,1,1,1,1,1
"2233",2,3,3,3,3,3
"2234",3,3,3,3,3,3
"2235",16,16,16,15,15,14
"2236",6,7,7,7,7,8
"2237",6,6,6,6,6,6
"2238",9,10,8,9,9,8
"2239",2,3,2,4,4,2
"2240",5,4,5,4,4,4
"2241",9,8,9,9,8,7
"2242",18,18,18,19,17,17
"2243",39,38,37,39,42,39
"2244",12,12,12,12,12,12
"2245",9,12,11,10,11,11
"2246",2,3,2,1,2,2
"2247",4,4,5,4,5,4
"2248",2,4,4,3,1,4
"2249",8,9,8,8,6,8
"2250",8,9,8,9,8,9
"2251",7,12,12,5,7,10
"2252",12,17,17,13,13,15
"2253",1,1,1,1,1,1
"2254",2,2,4,4,2,4
"2255",2,2,2,2,2,2
"2256",3,4,4,4,2,4
"2257",3,4,4,4,3,4
"2258",8,8,8,8,7,9
"2259",10,10,11,10,9,10
"2260",1,2,2,1,2,1
"2261",5,6,5,5,5,5
"2262",18,19,18,16,17,18
"2263",2,1,2,3,2,2
"2264",7,7,6,10,10,10
"2265",23,26,24,23,22,24
"2266",29,22,31,23,25,23
"2268",9,10,10,11,11,8
"2269",2,1,1,1,1,2
"2270",14,13,9,12,12,13
"2271",4,3,4,4,4,5
"2272",1,1,2,2,1,1
"2273",3,1,2,1,3,3
"2274",50,52,54,54,54,54
"2275",3,3,2,3,3,4
"2276",3,3,3,3,3,3
"2277",1,2,2,1,1,2
"2278",2,2,3,2,2,2
"2279",4,5,4,3,2,5
"2280",1,2,1,1,2,1
"2282",2,1,4,1,2,2
"2284",2,3,5,3,4,3
"2285",12,11,10,10,12,10
"2288",29,29,29,31,30,31
"2289",22,19,17,19,20,18
"2290",5,4,5,4,3,3
"2292",7,8,7,7,6,8
"2293",7,7,6,7,7,7
"2294",16,13,17,12,14,14
"2295",3,5,5,3,3,6
"2296",4,6,5,5,3,5
"2299",2,3,3,2,3,3
"2300",6,9,10,8,8,8
"2301",1,1,1,1,1,1
"2302",2,3,4,3,3,3
"2303",2,3,3,3,3,3
"2304",6,8,9,4,4,5
"2307",6,7,8,7,6,7
"2308",2,5,6,4,3,6
"2310",10,12,11,10,9,12
"2311",17,15,18,17,18,16
"2312",5,6,5,6,6,6
"2313",4,3,2,5,4,2
"2315",10,11,10,11,11,11
"2316",8,7,8,7,7,7
"2317",21,20,20,20,21,20
"2318",2,3,2,2,1,3
"2319",3,1,2,1,2,1
"2321",16,16,16,16,17,17
"2322",4,3,4,4,3,4
"2323",11,7,7,11,11,11
"2324",4,3,4,4,4,4
"2325",14,14,15,16,13,15
"2326",2,3,3,3,3,3
"2327",16,20,21,19,17,20
"2328",17,18,17,17,14,15
"2329",14,13,13,14,16,14
"2330",1,1,1,1,1,1
"2331",19,19,21,19,17,20
"2332",11,13,12,13,9,13
"2334",6,10,10,7,5,9
"2337",3,3,3,3,3,3
"2338",3,4,2,2,3,3
"2339",4,5,5,4,4,5
"2340",12,11,11,11,11,10
"2341",4,4,4,4,4,4
"2342",5,5,5,6,5,6
"2343",10,10,9,10,10,8
"2344",6,5,5,5,6,5
"2345",5,5,4,5,4,4
"2346",2,2,2,2,2,2
"2347",24,21,19,25,24,21
"2348",2,2,2,3,3,3
"2349",37,34,36,38,32,34
"2350",2,3,3,3,2,2
"2352",2,2,2,2,2,1
"2353",1,2,2,2,2,2
"2354",1,2,2,2,2,2
"2355",4,4,4,3,4,2
"2356",1,1,2,1,1,1
"2358",5,5,5,5,5,5
"2360",5,6,6,2,3,5
"2361",1,2,2,2,2,2
"2362",1,4,4,1,2,3
"2364",3,4,4,2,2,4
"2365",1,3,3,3,3,4
"2366",1,4,5,3,3,4
"2367",9,13,14,9,8,13
"2368",13,12,13,11,11,10
"2369",11,12,13,11,9,12
"2371",2,3,2,2,1,2
"2374",6,7,10,8,8,9
"2375",1,2,2,2,1,3
"2376",10,11,12,8,7,10
"2377",2,3,3,3,3,2
"2378",1,3,3,2,3,4
"2380",8,9,9,7,7,8
"2381",1,4,4,3,3,5
"2382",2,2,3,3,2,4
"2384",6,10,10,4,5,9
"2386",8,8,9,7,8,8
"2387",13,13,12,13,13,13
"2389",4,3,4,3,3,3
"2391",22,23,23,24,24,24
"2392",5,7,9,6,6,8
"2393",2,2,2,2,2,2
"2394",5,5,6,5,4,4
"2395",6,8,8,4,6,8
"2396",8,7,8,7,7,7
"2397",4,5,2,5,4,5
"2398",17,16,16,19,15,18
"2399",10,10,10,11,10,11
"2402",5,4,4,5,4,4
"2404",12,12,12,12,13,14
"2405",2,2,2,1,1,2
"2406",6,4,7,10,6,6
"2408",5,5,5,5,5,4
"2409",4,5,4,5,5,5
"2411",5,6,6,6,6,6
"2412",3,3,3,3,3,3
"2414",4,5,5,5,5,5
"2415",4,6,4,5,4,5
"2416",19,16,17,20,16,16
"2417",8,6,5,6,6,5
"2418",29,26,29,26,29,26
"2419",3,3,4,3,5,1
"2420",7,5,6,5,6,5
"2421",2,1,1,2,1,2
"2422",12,11,12,11,11,12
"2423",7,5,7,4,5,5
"2424",1,1,1,1,1,1
"2425",2,3,2,3,2,3
"2426",8,9,9,7,7,7
"2427",6,5,6,6,6,5
"2428",5,5,5,6,4,5
"2429",7,8,8,7,7,7
"2430",14,16,15,16,15,17
"2431",8,10,9,8,7,10
"2432",2,1,3,2,2,2
"2433",2,2,2,2,2,2
"2434",8,9,8,8,7,9
"2435",4,3,3,3,3,4
"2436",7,7,6,7,6,6
"2437",2,2,4,4,4,3
"2438",31,33,31,31,30,32
"2439",83,81,82,82,83,84
"2440",1,1,2,2,2,2
"2442",5,5,5,2,5,5
"2443",31,28,30,31,32,30
"2444",7,8,8,7,6,7
"2445",4,2,4,3,3,3
"2446",23,22,24,23,23,23
"2447",4,4,4,4,2,5
"2448",6,5,5,7,7,6
"2449",3,3,3,3,3,3
"2450",2,2,2,2,2,2
"2451",4,4,4,5,3,5
"2452",4,2,2,1,4,3
"2453",34,28,33,29,32,29
"2454",15,13,11,14,14,12
"2455",13,14,13,13,15,15
"2456",13,13,13,12,11,13
"2457",10,11,11,10,10,11
"2458",7,7,7,7,6,7
"2459",3,5,3,4,5,2
"2461",6,7,6,7,6,6
"2462",8,8,8,8,8,7
"2463",8,10,10,9,8,8
"2464",25,24,26,24,24,23
"2465",20,15,17,15,14,14
"2466",13,10,9,11,10,10
"2467",4,3,4,4,3,4
"2468",11,10,10,10,11,10
"2470",5,6,5,6,5,6
"2471",7,7,7,6,7,6
"2472",24,18,21,22,19,23
"2473",65,59,64,61,60,61
"2474",7,7,7,7,6,6
"2475",5,4,4,5,5,5
"2477",2,1,2,2,2,2
"2478",4,4,5,4,5,5
"2479",28,26,27,27,27,23
"2480",5,4,3,5,5,7
"2481",1,4,4,2,3,3
"2482",11,12,11,10,12,11
"2483",2,4,4,3,1,3
"2484",1,2,2,1,1,2
"2486",11,11,11,11,9,11
"2487",1,2,2,1,1,3
"2488",2,2,3,2,2,2
"2489",1,2,3,1,1,3
"2490",2,2,2,2,2,1
"2491",8,8,6,8,10,8
"2493",6,5,4,5,5,6
"2494",22,22,22,23,21,23
"2495",5,6,5,6,6,5
"2496",2,3,3,3,4,4
"2497",10,7,10,9,9,7
"2498",13,12,13,12,11,12
"2499",3,2,2,2,2,1
"2500",8,9,9,9,9,9
"2501",10,10,11,9,10,9
"2502",17,14,17,14,17,15
"2503",13,12,11,11,13,12
"2504",3,4,3,2,3,2
"2505",4,3,3,3,3,2
"2506",3,2,4,4,3,2
"2507",20,25,17,23,24,21
"2508",4,4,3,6,6,6
"2509",1,3,2,3,2,3
"2510",33,32,33,33,33,32
"2511",25,25,25,23,23,24
"2512",15,12,14,13,12,13
"2513",6,6,6,6,8,6
"2514",19,18,19,18,17,16
"2515",7,10,7,8,9,6
"2516",7,7,6,7,6,7
"2517",7,9,8,9,8,7
"2518",2,3,1,2,2,3
"2519",4,6,5,5,5,5
"2520",6,5,6,7,7,7
"2521",1,1,1,1,1,1
"2522",16,14,13,15,17,11
"2523",4,5,6,6,6,3
"2524",4,5,4,5,5,5
"2525",5,5,5,5,5,5
"2527",9,8,9,9,7,9
"2528",28,29,28,30,28,28
"2529",3,2,3,1,3,1
"2530",16,11,15,13,15,13
"2531",10,11,10,10,10,10
"2532",4,3,5,4,4,4
"2533",4,4,5,3,4,3
"2534",6,6,5,6,6,6
"2535",12,12,11,11,11,11
"2536",12,13,11,13,14,13
"2537",2,3,3,3,3,2
"2538",4,3,4,3,3,3
"2539",3,2,2,1,1,2
"2540",3,3,3,3,3,3
"2541",13,13,13,12,12,11
"2542",13,15,12,13,14,12
"2543",35,35,33,35,34,34
"2544",2,4,2,2,2,3
"2545",15,18,17,17,17,15
"2546",4,2,2,3,3,3
"2547",3,2,1,2,1,2
"2548",5,5,4,5,5,5
"2549",2,2,2,2,1,2
"2552",4,5,4,4,4,4
"2553",5,5,5,5,5,5
"2554",4,4,4,4,4,4
"2555",3,3,4,4,3,4
"2556",13,13,13,13,12,12
"2557",1,1,2,3,1,2
"2558",2,1,1,3,2,1
"2560",21,20,23,17,22,17
"2561",15,14,15,16,18,12
"2563",3,3,2,2,2,2
"2564",2,2,2,2,2,1
"2565",10,9,10,10,9,11
"2566",23,21,20,19,19,18
"2567",4,4,4,4,4,4
"2568",13,13,11,13,12,12
"2569",8,7,8,7,8,7
"2570",10,10,10,10,12,11
"2571",12,16,17,11,11,15
"2572",24,21,24,24,26,22
"2573",6,6,5,6,5,6
"2574",5,6,5,6,5,6
"2575",1,4,4,3,2,3
"2576",8,7,9,9,9,9
"2577",1,3,3,2,1,4
"2578",3,3,3,2,2,3
"2580",1,3,2,2,2,2
"2581",2,3,5,2,2,3
"2582",11,11,10,12,8,12
"2584",2,1,2,1,1,2
"2585",3,4,4,6,2,5
"2587",3,4,4,5,5,5
"2588",2,4,3,2,2,3
"2590",6,6,6,6,6,6
"2591",2,2,2,2,1,2
"2593",4,4,5,4,2,4
"2594",1,1,1,1,1,1
"2596",5,6,6,2,4,6
"2597",3,3,3,4,2,3
"2598",8,8,8,8,7,8
"2600",3,5,8,2,3,4
"2601",1,2,2,1,1,2
"2602",8,8,9,8,5,8
"2603",1,1,2,1,1,2
"2604",2,3,3,3,2,4
"2605",1,2,3,2,1,2
"2606",4,6,6,3,3,6
"2607",3,3,5,2,1,2
"2610",3,2,3,3,2,3
"2611",9,9,8,9,11,8
"2612",4,4,5,4,5,3
"2613",3,2,3,2,1,2
"2614",4,3,4,4,5,3
"2615",36,34,34,37,36,34
"2616",3,3,2,2,2,3
"2617",1,3,3,2,1,3
"2618",2,4,3,3,2,4
"2619",9,8,10,9,9,6
"2620",4,4,3,4,3,4
"2621",3,4,4,3,3,4
"2623",6,7,7,5,4,6
"2624",30,29,29,29,30,30
"2625",29,27,31,28,27,26
"2626",17,20,17,16,16,21
"2627",3,3,4,4,2,3
"2628",6,6,5,6,6,6
"2630",3,3,3,3,3,4
"2631",10,9,10,9,10,9
"2632",6,6,6,4,5,6
"2633",3,6,5,5,3,6
"2634",3,5,3,4,3,4
"2635",1,2,2,2,2,2
"2636",2,3,4,3,3,3
"2637",2,2,1,2,1,2
"2638",3,4,4,3,2,3
"2640",3,5,5,5,4,5
"2641",7,12,10,8,8,12
"2642",4,8,8,7,6,8
"2643",4,5,5,2,2,5
"2645",1,3,3,2,1,2
"2648",6,6,7,4,5,6
"2649",2,3,3,2,2,4
"2650",2,1,2,1,1,2
"2651",1,2,1,1,2,2
"2652",4,8,8,5,5,7
"2653",2,2,2,2,2,2
"2654",5,5,5,5,5,4
"2655",16,15,13,14,15,13
"2656",6,4,5,5,6,4
"2658",7,7,7,6,7,7
"2659",7,8,10,8,8,9
"2660",9,9,11,6,7,11
"2661",17,19,18,19,17,19
"2662",3,3,3,4,4,3
"2663",24,22,23,24,26,22
"2664",2,1,1,2,1,2
"2665",28,25,26,27,28,23
"2666",17,17,18,18,16,18
"2667",6,5,6,7,7,7
"2668",8,7,7,7,6,7
"2669",5,6,4,6,4,5
"2670",5,6,6,6,5,6
"2671",8,8,9,9,9,8
"2673",6,8,7,6,6,8
"2674",11,12,10,12,11,12
"2676",13,15,16,11,11,13
"2677",11,12,12,10,11,11
"2678",2,2,2,1,2,2
"2679",3,6,4,2,1,5
"2680",3,4,3,1,1,4
"2681",9,11,9,7,6,10
"2682",18,16,17,20,16,19
"2683",12,10,12,10,12,10
"2685",10,10,11,11,11,10
"2686",8,9,9,11,8,9
"2687",3,3,2,2,2,1
"2688",34,33,34,31,34,32
"2689",34,36,35,35,35,35
"2690",4,5,5,5,5,5
"2691",16,14,16,15,14,12
"2692",3,3,3,4,2,3
"2693",13,14,15,15,15,13
"2694",12,12,12,12,11,11
"2695",3,4,3,2,3,3
"2696",9,10,7,10,8,9
"2697",18,20,19,20,19,18
"2698",8,9,8,9,8,9
"2699",5,5,5,5,5,5
"2700",24,20,22,22,19,23
"2701",5,5,6,4,5,6
"2702",9,7,9,9,9,7
"2703",1,1,1,1,1,1
"2704",25,23,25,24,24,23
"2705",5,5,4,5,4,5
"2706",3,2,3,3,3,3
"2707",7,7,8,7,8,7
"2708",26,22,24,23,25,22
"2710",2,2,2,2,2,2
"2711",2,3,2,1,1,1
"2712",5,5,4,5,4,5
"2713",6,7,7,8,7,7
"2714",3,4,4,3,3,3
"2715",2,2,2,2,1,2
"2716",6,4,5,5,6,4
"2717",4,2,4,3,4,3
"2719",12,10,11,9,10,9
"2720",1,1,1,1,1,1
"2721",7,6,6,7,6,6
"2722",12,14,12,13,11,15
"2723",1,1,1,1,2,2
"2724",14,12,11,13,15,13
"2725",3,3,2,3,3,3
"2726",6,5,5,5,5,5
"2727",10,10,10,9,9,10
"2728",1,2,2,3,2,3
"2729",1,2,1,2,1,2
"2730",14,14,14,13,14,14
"2731",15,16,15,16,16,15
"2732",8,3,3,7,8,3
"2733",6,6,4,6,6,4
"2734",6,6,5,6,5,6
"2735",2,2,2,2,3,3
"2736",1,2,1,1,2,2
"2737",4,4,4,4,4,3
"2738",7,7,7,7,7,7
"2739",19,18,18,18,18,18
"2740",3,3,3,3,3,3
"2741",6,5,6,5,5,4
"2742",12,11,11,12,10,12
"2743",4,5,5,5,5,5
"2744",6,5,6,5,7,5
"2745",1,3,2,3,2,3
"2746",2,2,2,2,2,1
"2747",3,3,3,3,3,3
"2748",10,8,9,8,9,7
"2749",6,6,5,5,6,5
"2750",2,2,1,2,2,1
"2751",3,3,2,3,2,3
"2752",3,3,3,3,3,3
"2753",7,7,7,6,6,7
"2754",7,7,7,8,7,5
"2755",6,7,7,6,7,6
"2756",7,6,7,6,6,6
"2757",11,11,12,9,9,11
"2758",9,9,8,9,9,9
"2759",4,5,5,5,4,5
"2760",1,1,1,2,1,1
"2761",8,8,9,7,8,8
"2762",9,8,9,8,8,8
"2763",16,17,16,16,16,17
"2764",5,4,4,5,5,5
"2765",3,2,3,2,3,2
"2767",12,12,12,12,12,12
"2768",6,7,5,6,6,5
"2769",12,12,12,12,12,12
"2770",10,10,10,10,9,10
"2771",1,1,1,1,1,1
"2772",4,4,4,4,4,4
"2773",5,4,5,5,4,5
"2774",2,2,2,2,2,1
"2775",2,3,3,3,3,3
"2777",1,1,1,1,1,1
"2778",7,6,7,7,6,7
"2779",4,4,5,5,5,4
"2780",3,1,2,1,1,1
"2781",2,2,2,2,1,2
"2782",11,9,7,10,11,9
"2783",1,1,1,1,2,1
"2784",3,3,3,3,3,3
"2786",2,2,2,2,2,2
"2787",4,3,3,3,3,3
"2788",3,3,3,3,5,3
"2789",6,5,6,7,5,6
"2790",5,4,5,5,4,4
"2791",18,19,19,20,20,20
"2792",6,4,6,5,6,5
"2793",1,2,1,1,1,2
"2794",2,2,2,2,2,1
"2795",7,7,7,6,7,7
"2796",5,4,4,4,4,5
"2797",11,11,11,12,11,10
"2798",12,14,14,13,13,15
"2799",22,22,21,23,23,22
"2800",9,9,10,9,9,9
"2801",8,8,8,8,8,8
"2802",8,7,7,8,8,8
"2803",4,3,4,4,4,4
"2804",17,17,16,17,17,17
"2805",4,4,4,4,4,4
"2806",4,4,4,4,4,4
"2807",9,9,9,9,8,9
"2808",2,2,2,2,2,2
"2809",3,2,2,2,2,2
"2810",9,8,10,11,9,10
"2811",2,2,2,1,2,2
"2812",3,2,3,3,3,3
"2813",3,3,3,3,3,3
"2814",3,3,3,3,3,3
"2815",4,4,4,3,4,3
"2816",7,7,8,8,7,8
"2817",5,5,5,5,5,5
"2818",2,2,2,2,2,2
"2819",14,13,14,16,15,15
"2820",2,2,2,2,1,2
"2821",8,4,3,7,7,6
"2822",11,11,11,11,11,10
"2823",4,4,3,3,4,4
"2824",15,14,15,17,15,16
"2825",4,4,4,4,4,4
"2826",16,16,16,16,15,16
"2827",5,4,3,5,5,4
"2829",5,5,5,5,5,5
"2830",5,5,5,5,5,5
"2832",5,5,5,5,5,5
"2833",7,9,8,8,9,6
"2834",8,8,9,8,8,9
"2835",4,4,4,4,4,4
"2836",1,1,1,1,1,1
"2837",5,4,4,4,4,4
"2838",4,4,4,4,4,4
"2839",3,3,2,2,3,3
"2840",4,4,4,3,4,4
"2841",2,2,2,2,2,2
"2842",2,2,3,4,4,4
"2843",2,1,2,2,2,2
"2844",2,1,2,2,2,2
"2845",8,6,6,7,7,7
"2846",5,5,5,5,5,5
"2847",4,5,4,4,4,5
"2848",6,6,6,7,6,6
"2849",6,7,7,7,7,7
"2850",7,6,6,6,7,7
"2851",6,6,6,6,6,6
"2852",9,9,9,9,9,9
"2853",3,3,4,3,3,3
"2854",6,7,6,7,6,6
"2855",7,6,7,7,7,6
"2856",7,7,7,7,7,7
"2857",5,5,5,5,5,5
"2858",25,23,25,23,24,23
"2859",3,2,2,4,2,2
"2860",1,2,3,3,2,3
"2861",3,1,1,2,2,1
"2863",10,10,11,12,10,11
"2864",3,3,3,2,3,2
"2865",3,3,3,3,3,2
"2866",2,1,2,1,1,1
"2867",4,4,4,4,4,4
"2868",7,5,6,6,6,6
"2869",2,3,2,2,3,2
"2870",5,5,5,5,5,5
"2871",4,2,1,4,4,2
"2872",7,7,6,8,7,7
"2873",17,17,17,17,16,17
"2874",1,1,1,1,1,1
"2875",6,6,6,5,6,6
"2877",2,2,1,2,2,1
"2878",10,11,10,11,9,10
"2879",7,7,7,7,7,7
"2880",5,3,5,4,4,5
"2882",8,8,7,8,7,8
"2883",5,5,5,5,5,5
"2885",2,1,1,2,1,1
"2886",21,21,20,21,21,21
"2887",9,9,10,9,10,10
"2888",5,5,5,5,5,4
"2889",3,2,2,3,3,2
"2890",5,1,4,6,6,4
"2891",4,3,3,4,4,4
"2893",8,8,8,8,8,8
"2894",1,1,1,1,1,1
"2895",4,4,4,4,4,4
"2897",9,4,4,8,9,3
"2898",3,3,2,3,2,3
"2899",6,6,6,6,7,6
"2900",5,1,2,4,4,1
"2902",13,9,10,12,11,9
"2903",10,4,9,8,8,6
"2905",9,8,7,10,9,9
"2906",3,3,4,4,2,3
"2907",3,3,3,4,3,4
"2909",23,21,21,22,22,21
"2910",4,5,5,5,4,4
"2911",23,23,24,25,22,22
"2913",2,2,3,4,3,4
"2914",29,27,26,27,27,29
"2915",5,5,5,4,5,6
"2916",12,9,10,11,12,12
"2917",11,10,10,10,10,10
"2918",96,91,96,94,97,94
"2920",6,7,6,5,6,7
"2921",8,12,12,10,9,11
"2922",2,2,1,2,1,2
"2925",9,7,8,7,7,7
"2926",2,4,2,3,3,2
"2927",3,3,3,3,1,2
"2928",5,5,5,5,5,5
"2929",4,6,7,4,4,7
"2930",4,3,4,4,4,4
"2931",2,2,2,2,2,2
"2932",3,3,3,1,3,2
"2934",5,5,5,5,5,5
"2935",4,3,3,3,3,3
"2936",8,7,6,7,7,8
"2937",3,3,4,3,4,3
"2938",6,6,6,6,6,6
"2940",4,5,5,5,4,5
"2941",3,3,3,2,2,3
"2942",2,3,3,2,2,3
"2943",1,2,1,3,3,3
"2944",2,3,3,3,3,3
"2945",4,4,4,4,4,4
"2946",6,6,6,6,5,7
"2947",3,3,3,3,3,2
"2948",5,5,4,4,5,5
"2949",2,2,2,1,1,2
"2951",1,2,1,1,1,3
"2952",2,2,2,3,3,3
"2953",9,10,9,10,10,10
"2954",2,2,2,3,2,2
"2955",4,5,5,5,4,5
"2956",15,15,15,15,15,15
"2957",9,9,10,8,7,9
"2958",5,5,5,5,5,5
"2959",3,3,4,4,3,3
"2961",7,6,6,6,6,7
"2962",18,17,20,21,18,17
"2964",4,6,5,5,4,6
"2965",4,3,3,5,4,4
"2966",11,8,11,8,9,10
"2967",5,7,6,7,7,7
"2968",3,4,4,4,4,4
"2969",58,52,55,54,53,54
"2970",6,7,7,6,6,6
"2971",10,13,13,10,9,13
"2972",1,2,1,1,2,1
"2973",8,8,9,9,8,7
"2974",2,4,4,2,3,3
"2975",21,20,21,20,20,19
"2976",38,48,51,42,38,50
"2977",3,3,4,1,3,3
"2978",5,4,5,6,6,4
"2979",20,14,18,23,25,21
"2980",8,8,7,6,8,7
"2981",8,10,10,9,10,10
"2982",5,4,5,5,5,4
"2983",5,5,5,5,5,4
"2985",2,4,3,1,1,3
"2986",1,2,1,1,1,1
"2987",18,17,17,17,17,15
"2988",5,7,7,5,5,7
"2989",2,2,2,2,2,2
"2991",15,13,15,13,14,13
"2992",1,2,1,2,2,1
"2993",3,3,3,3,3,3
"2994",3,3,3,3,3,3
"2995",5,6,5,2,4,5
"2996",2,2,1,2,2,2
"2997",17,17,16,18,19,15
"2998",17,17,18,20,21,20
"2999",6,5,6,5,6,5
"3000",1,5,2,3,1,5
"3001",3,3,3,2,2,3
"3002",3,7,6,5,4,5
"3003",6,6,6,4,7,5
"3004",1,2,2,1,1,2
"3005",4,6,4,3,4,6
"3008",18,15,15,19,17,16
"3009",4,4,4,3,4,4
"3010",3,2,4,4,1,4
"3011",3,5,4,4,2,4
"3012",7,7,7,7,7,7
"3014",16,18,18,16,16,19
"3015",5,8,6,9,7,7
"3016",5,7,6,5,5,7
"3017",2,3,3,2,1,3
"3018",20,24,20,21,21,21
"3020",3,1,2,1,2,2
"3021",5,6,7,6,4,7
"3022",13,13,14,14,14,14
"3023",3,2,2,3,3,2
"3025",8,7,7,7,6,7
"3026",1,1,1,1,3,1
"3027",5,5,6,5,5,5
"3029",1,1,2,1,1,2
"3030",10,13,12,8,8,11
"3031",2,1,3,1,2,3
"3032",9,8,10,8,9,7
"3033",4,7,6,5,3,6
"3034",8,6,9,7,7,7
"3035",2,3,3,1,2,2
"3036",20,16,18,18,20,16
"3038",2,1,2,1,2,2
"3039",2,1,1,2,2,2
"3041",2,3,3,3,1,2
"3042",1,2,1,1,1,1
"3044",13,13,13,13,13,13
"3045",2,1,2,1,1,1
"3046",12,14,17,11,10,18
"3047",2,4,4,2,2,5
"3048",17,26,26,19,20,24
"3049",19,19,17,16,18,18
"3050",1,1,2,1,1,2
"3052",3,3,3,1,3,3
"3053",1,3,3,2,2,3
"3055",4,9,9,7,4,7
"3056",4,4,4,3,3,4
"3057",5,5,3,4,3,7
"3058",4,4,6,1,2,5
"3061",1,2,2,2,2,2
"3062",8,11,12,8,6,12
"3063",8,7,7,7,7,6
"3064",1,1,2,1,1,2
"3066",5,5,4,5,4,4
"3067",5,11,9,6,3,9
"3069",5,5,5,5,5,5
"3070",6,7,7,6,6,7
"3072",9,10,12,10,9,11
"3075",4,5,5,5,5,5
"3076",3,1,2,3,3,2
"3078",6,9,8,8,6,9
"3082",36,39,37,39,35,38
"3084",5,7,7,5,7,9
"3085",2,3,1,2,4,2
"3086",9,10,10,10,10,10
"3087",2,2,2,2,2,2
"3089",4,6,5,3,3,6
"3090",5,4,5,5,5,5
"3091",3,5,4,3,3,4
"3092",5,7,6,5,3,7
"3093",9,9,8,9,9,9
"3094",9,9,9,8,8,9
"3095",5,7,7,5,4,7
"3096",10,15,13,8,8,13
"3097",2,2,2,2,1,2
"3098",7,10,6,8,6,9
"3099",6,12,10,7,6,11
"3100",7,7,7,5,6,7
"3102",2,2,2,1,2,3
"3103",3,3,1,3,1,1
"3104",2,2,2,2,2,2
"3105",12,19,18,13,14,18
"3106",5,7,5,5,3,6
"3108",6,7,7,6,6,7
"3109",2,5,4,2,4,4
"3110",3,3,3,3,3,2
"3111",2,3,3,2,3,3
"3112",1,3,3,1,1,3
"3113",1,1,2,1,2,1
"3114",4,8,8,4,4,7
"3115",10,13,13,11,12,13
"3116",2,2,2,1,2,2
"3118",4,3,4,5,5,3
"3119",6,7,7,4,6,6
"3120",12,11,8,8,9,11
"3122",4,6,5,3,3,6
"3123",5,6,7,7,6,5
"3124",1,2,2,1,1,2
"3125",2,4,3,3,4,3
"3126",8,8,6,8,8,6
"3127",14,12,11,11,13,11
"3128",19,22,19,19,22,20
"3130",6,6,6,6,4,6
"3131",7,8,6,7,6,8
"3132",2,3,3,2,2,4
"3133",13,11,12,9,11,11
"3135",1,2,1,1,1,2
"3136",2,1,2,1,1,1
