"","number_of_peptides_A_3","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_B_1","number_of_peptides_A_1","number_of_peptides_B_2"
"2529",36,20,26,14,26,18
"2530",14,5,16,10,16,5
"2531",3,6,3,4,4,2
"2532",10,9,9,7,10,6
"2533",11,11,10,8,10,13
"2534",3,3,2,2,1,2
"2535",8,9,5,5,6,5
"2536",3,2,3,2,3,5
"2537",59,64,57,51,48,60
"2538",158,184,151,153,133,171
"2539",3,3,3,3,4,2
"2540",2,2,1,1,4,3
"2541",4,9,2,4,2,6
"2542",75,80,73,74,67,68
"2543",5,7,5,8,4,6
"2544",3,3,1,3,3,4
"2545",63,69,59,57,57,60
"2546",1,4,1,4,2,3
"2548",16,15,12,16,10,16
"2549",6,10,2,9,7,6
"2550",4,3,3,2,2,3
"2552",6,4,5,4,4,4
"2554",54,57,48,48,40,43
"2555",14,22,21,16,17,14
"2556",18,23,25,19,18,23
"2557",17,21,13,16,11,16
"2558",2,21,28,2,2,2
"2559",5,10,5,4,5,8
"2560",5,9,3,8,3,3
"2563",6,9,7,8,6,6
"2564",13,14,10,15,12,15
"2565",20,8,15,10,18,12
"2566",44,43,35,41,30,38
"2567",31,23,19,20,18,17
"2568",16,12,10,15,8,12
"2569",7,3,2,2,8,7
"2570",20,23,15,17,15,17
"2572",7,7,5,3,7,6
"2573",15,14,13,13,11,16
"2574",23,29,23,18,21,25
"2575",69,75,62,63,63,74
"2576",10,14,13,15,8,8
"2577",9,5,7,5,8,6
"2579",4,5,4,5,5,2
"2581",5,5,5,7,7,7
"2582",49,48,45,52,42,54
"2583",6,10,10,8,10,12
"2584",2,1,5,1,1,1
"2585",11,16,16,13,11,12
"2586",6,1,4,2,4,2
"2588",3,5,11,4,10,7
"2589",13,9,16,8,17,7
"2594",6,14,8,9,11,12
"2596",1,5,2,3,2,3
"2597",46,52,39,45,41,47
"2598",6,5,4,6,3,5
"2599",3,3,5,2,5,4
"2600",13,14,13,11,13,9
"2601",21,17,13,11,13,17
"2603",17,20,17,21,16,20
"2604",18,14,12,14,12,16
"2605",18,22,18,28,21,18
"2606",18,22,23,25,23,21
"2607",8,6,5,6,4,2
"2609",3,7,6,3,4,2
"2611",21,25,23,26,26,32
"2612",5,4,4,2,2,3
"2613",6,4,5,7,7,7
"2614",7,5,6,7,6,7
"2615",98,109,101,113,96,107
"2616",54,69,57,59,49,53
"2617",18,20,15,14,17,15
"2618",8,12,10,15,8,8
"2619",20,21,16,16,14,16
"2620",6,8,5,4,7,8
"2621",6,6,4,5,4,6
"2622",13,14,11,10,14,9
"2624",7,7,6,10,8,8
"2626",4,6,6,8,4,6
"2627",2,15,24,13,2,11
"2628",6,6,4,4,1,5
"2629",16,14,14,10,17,14
"2630",4,5,4,4,3,6
"2632",5,6,4,5,5,5
"2633",19,14,11,11,6,7
"2635",33,37,32,32,36,37
"2638",26,28,18,19,23,20
"2639",19,17,18,24,21,20
"2640",3,4,1,6,2,3
"2641",27,3,26,4,4,24
"2642",4,6,6,4,2,5
"2643",5,6,4,5,5,5
"2644",7,13,8,11,9,9
"2645",29,24,26,25,23,24
"2646",5,3,2,3,4,4
"2647",4,4,4,1,2,6
"2649",51,43,46,52,51,45
"2650",1,5,1,2,1,5
"2651",33,44,38,33,26,44
"2652",131,146,126,128,118,125
"2653",4,2,2,4,5,4
"2654",29,31,28,31,25,34
"2655",5,10,7,12,8,6
"2656",1,2,1,3,3,2
"2657",8,9,5,6,4,6
"2660",5,2,4,2,1,3
"2661",6,1,4,2,4,1
"2662",9,6,8,11,7,9
"2663",12,11,6,6,6,8
"2664",5,4,4,5,3,4
"2665",43,42,40,43,34,36
"2669",28,30,27,32,24,30
"2670",21,22,19,17,15,21
"2672",4,5,3,4,3,2
"2674",11,12,15,14,13,11
"2675",28,32,27,28,24,27
"2676",6,4,1,4,6,4
"2678",21,14,11,17,17,20
"2680",10,19,11,13,12,13
"2681",23,26,24,27,23,29
"2682",24,15,19,13,15,15
"2683",25,25,23,24,20,23
"2684",5,6,3,8,2,7
"2685",8,9,9,13,7,11
"2686",4,1,4,1,8,3
"2687",14,10,13,15,13,12
"2689",3,1,3,3,7,1
"2690",5,5,2,1,2,2
"2692",5,2,3,3,4,2
"2693",7,2,6,2,4,5
"2694",16,15,13,13,15,13
"2696",6,3,5,1,5,2
"2698",3,2,3,2,1,0
"2699",7,6,7,7,8,9
"2702",4,5,5,3,5,3
"2705",3,2,2,1,4,1
"2706",12,8,12,7,13,8
"2707",2,3,2,1,2,2
"2709",6,3,4,1,3,2
"2712",2,2,2,1,20,1
"2715",6,4,11,3,8,2
"2717",20,16,22,13,19,15
"2719",8,3,12,1,7,1
"2720",10,6,15,5,12,5
"2721",2,1,4,2,3,1
"2722",5,2,4,1,4,3
"2723",5,2,7,3,5,3
"2724",8,3,8,3,6,3
"2725",6,3,4,2,5,2
"2729",6,3,4,2,4,1
"2730",9,8,10,9,9,9
"2731",2,3,5,2,3,2
"2732",4,2,3,3,1,3
"2733",4,4,1,5,2,2
"2734",66,68,63,63,59,67
"2736",3,4,4,4,3,1
"2737",10,8,8,5,8,7
"2738",9,8,9,4,6,7
"2741",8,5,6,7,8,8
"2743",39,39,35,37,33,43
"2744",42,32,31,39,31,30
"2745",28,14,22,17,22,13
"2747",8,8,11,6,6,7
"2748",4,1,3,4,3,2
"2749",19,14,16,9,10,8
"2750",5,5,6,10,10,5
"2751",9,3,6,3,6,1
"2752",4,1,5,3,3,3
"2753",2,1,4,2,1,1
"2755",4,3,4,1,2,4
"2756",7,2,10,2,6,4
"2757",6,3,3,3,4,2
"2758",11,4,10,5,14,7
"2760",11,8,11,7,10,7
"2767",12,5,9,4,11,6
"2768",4,2,5,2,5,2
"2772",1,1,23,1,1,1
"2773",9,6,7,5,7,4
"2774",4,4,4,5,3,6
"2775",4,9,5,6,5,6
"2776",19,17,12,18,12,16
"2777",18,19,10,16,17,19
"2778",4,1,3,1,2,1
"2780",14,14,14,13,14,12
"2781",26,23,30,8,24,12
"2782",15,9,14,5,18,9
"2783",45,32,37,36,42,34
"2784",2,3,6,5,4,4
"2785",30,36,31,31,29,33
"2788",51,48,51,52,50,58
"2789",26,34,27,27,26,26
"2790",9,6,6,6,4,8
"2791",9,12,9,10,10,10
"2792",7,7,4,6,4,4
"2793",9,5,5,5,4,4
"2794",13,12,12,11,9,15
"2795",7,4,12,4,10,2
"2796",30,30,34,24,34,32
"2797",2,4,6,1,2,1
"2798",18,11,20,16,20,14
"2799",9,6,18,11,16,9
"2803",10,8,15,9,12,6
"2804",20,27,19,22,17,19
"2805",13,7,11,10,10,17
"2806",22,22,11,22,14,20
"2807",11,12,14,13,14,12
"2809",56,59,49,48,36,53
"2810",80,92,79,90,78,80
"2811",7,6,7,6,7,6
"2812",17,21,16,15,16,16
"2813",2,5,2,5,3,5
"2814",11,18,17,15,16,13
"2815",2,1,1,1,2,2
"2816",23,27,27,25,26,22
"2817",3,4,3,5,5,2
"2818",11,10,12,12,8,10
"2819",27,22,23,21,20,19
"2820",9,10,7,7,8,9
"2821",9,10,7,9,8,9
"2822",32,27,29,33,24,29
"2823",32,35,9,33,34,29
"2824",10,11,9,7,14,10
"2825",4,3,2,2,4,2
"2826",40,49,33,41,34,41
"2827",7,5,6,8,5,6
"2828",5,6,4,5,5,5
"2830",5,11,11,14,8,9
"2831",33,42,36,35,30,35
"2832",2,2,2,1,1,3
"2836",5,4,4,2,7,3
"2837",11,16,11,12,14,13
"2838",2,2,3,4,1,3
"2839",2,1,4,1,3,1
"2841",5,4,4,3,4,4
"2842",5,7,4,4,3,5
"2844",12,16,13,12,11,13
"2845",15,22,15,17,14,20
"2846",8,14,10,9,8,6
"2847",14,15,14,18,14,13
"2850",24,25,19,20,10,21
"2851",11,13,14,14,12,13
"2852",5,4,5,4,4,5
"2854",178,165,158,147,165,151
"2856",54,52,46,57,45,52
"2857",20,23,15,18,18,13
"2858",3,9,1,8,4,10
"2859",2,6,3,8,3,7
"2860",4,5,6,7,3,6
"2861",1,3,6,3,5,5
"2862",3,5,4,2,3,3
"2863",1,6,2,8,3,7
"2864",7,7,9,12,10,6
"2865",68,76,59,66,59,61
"2866",7,9,7,5,6,6
"2867",13,16,12,13,15,8
"2868",19,22,19,20,19,19
"2869",7,9,5,5,8,7
"2870",5,8,6,6,8,9
"2871",11,11,10,13,9,11
"2873",11,11,9,11,7,11
"2874",5,9,4,7,7,8
"2875",6,4,5,6,4,4
"2876",12,11,14,12,11,12
"2877",10,13,10,12,12,10
"2878",7,13,7,11,8,10
"2879",13,17,14,15,13,19
"2880",11,12,8,9,8,10
"2881",18,17,17,15,13,15
"2882",14,13,8,12,11,12
"2883",9,7,4,4,7,10
"2884",1,4,1,4,1,3
"2885",10,9,10,9,8,6
"2886",21,28,14,19,20,20
"2887",21,26,19,25,18,23
"2888",2,2,2,2,1,2
"2890",52,49,38,44,39,52
"2891",13,17,11,13,14,16
"2892",22,23,16,20,23,24
"2893",32,32,27,20,25,29
"2894",12,15,13,14,11,12
"2895",14,14,11,14,12,19
"2896",8,9,7,7,8,10
"2897",3,2,2,2,1,3
"2898",4,5,4,6,3,6
"2900",10,10,10,7,9,8
"2901",27,25,22,25,23,24
"2902",10,8,10,9,5,13
"2904",2,2,1,3,2,3
"2905",7,18,10,22,7,19
"2906",2,1,1,3,1,1
"2907",5,4,4,5,4,4
"2909",9,7,5,6,4,7
"2910",4,4,3,3,3,1
"2911",3,5,5,6,6,6
"2912",5,6,8,6,7,5
"2914",10,8,5,8,5,4
"2915",87,102,85,92,82,85
"2916",85,86,65,71,69,76
"2919",38,35,26,27,22,32
"2920",17,16,13,15,13,13
"2921",14,13,12,10,10,13
"2922",25,36,21,24,21,28
"2923",29,41,27,35,28,30
"2924",23,24,19,22,22,27
"2925",17,21,13,17,12,16
"2926",15,19,14,15,9,15
"2928",1,2,1,1,1,1
"2929",92,104,88,76,74,92
"2930",10,16,10,10,8,13
"2931",9,7,11,9,9,11
"2932",22,25,19,27,22,24
"2933",5,6,5,5,4,5
"2934",7,13,19,9,11,9
"2935",20,18,20,22,21,20
"2936",7,9,7,6,6,7
"2937",7,9,7,8,8,8
"2939",1,3,2,2,3,1
"2940",7,10,8,6,5,11
"2941",20,24,22,21,17,25
"2942",22,23,23,27,16,20
"2943",4,7,3,2,5,1
"2944",22,29,26,26,20,21
"2945",3,3,4,3,4,3
"2946",1,11,2,6,1,9
"2947",17,15,18,20,14,18
"2948",3,3,2,4,3,4
"2949",26,26,25,29,23,34
"2950",7,7,7,8,7,5
"2951",43,46,41,33,29,43
"2952",3,3,3,5,3,5
"2953",17,17,11,17,1,2
"2954",14,13,10,9,11,15
"2955",8,8,12,7,9,5
"2957",12,14,7,15,9,16
"2958",18,16,17,15,16,18
"2959",32,38,33,29,30,36
"2960",17,16,16,13,9,15
"2961",5,7,5,5,3,4
"2962",18,21,16,24,15,27
"2963",16,17,12,11,9,16
"2964",6,6,8,7,8,7
"2965",8,15,6,12,5,15
"2966",11,9,9,10,12,13
"2967",3,3,2,1,2,3
"2968",7,10,5,7,6,10
"2971",7,9,6,9,9,10
"2972",20,24,19,21,21,21
"2973",3,8,6,3,3,7
"2974",10,14,15,11,10,14
"2975",16,21,18,18,21,21
"2976",9,9,10,7,8,8
"2977",11,17,8,11,7,10
"2978",92,104,85,94,86,89
"2979",7,9,4,6,3,6
"2980",37,38,41,41,41,46
"2981",10,12,9,8,9,10
"2982",20,17,20,19,18,18
"2983",5,6,6,5,6,6
"2984",32,37,36,29,30,33
"2985",1,6,1,2,1,3
"2986",1,4,2,4,3,4
"2988",11,9,12,9,13,10
"2989",6,9,8,6,8,7
"2991",10,10,9,11,9,11
"2992",8,8,8,9,10,11
"2994",14,17,13,16,10,20
"2995",1,5,2,3,1,5
"2996",40,41,41,46,33,38
"2997",62,57,51,58,55,58
"2998",10,14,11,15,11,12
"2999",1,9,1,9,2,9
"3001",3,2,1,3,1,3
"3002",17,17,12,17,10,8
"3003",28,33,34,29,31,34
"3004",9,9,7,6,6,8
"3006",9,8,9,10,6,9
"3007",28,29,19,26,21,31
"3010",275,297,249,291,255,273
"3011",15,12,11,12,9,10
"3012",8,9,5,5,5,5
"3014",3,4,2,4,1,6
"3016",1,5,10,6,11,6
"3017",4,6,5,6,5,7
"3020",36,28,41,40,24,35
"3021",37,4,41,40,25,36
"3022",35,39,12,33,33,37
"3029",4,13,3,7,3,9
"3032",10,23,9,24,9,18
"3033",4,14,4,14,4,13
"3035",8,12,10,10,13,12
"3036",4,6,4,5,4,5
"3037",8,2,4,3,2,2
"3038",7,6,6,6,6,2
"3039",27,30,28,26,20,28
"3040",8,10,7,8,7,7
"3041",25,33,32,30,30,32
"3042",6,3,3,11,6,5
"3043",79,89,71,81,57,82
"3044",6,8,8,7,8,6
"3045",14,14,15,20,16,17
"3046",30,26,27,28,30,31
"3047",138,156,136,130,131,150
"3048",5,8,6,5,5,5
"3050",19,15,16,9,16,12
"3051",4,5,2,4,4,9
"3052",1,6,4,1,2,4
"3053",4,8,8,7,6,7
"3054",6,6,6,6,5,6
"3055",2,2,4,2,3,3
"3056",7,1,6,4,3,4
"3057",10,8,6,4,10,10
"3058",2,5,5,5,6,4
"3059",2,3,1,1,1,1
"3060",1,2,4,2,3,2
"3061",5,3,2,5,5,3
"3062",7,7,6,2,6,7
"3063",3,3,6,2,3,4
"3064",5,9,6,7,7,10
"3066",6,7,8,7,7,7
"3068",3,4,4,3,3,4
"3069",5,4,6,5,3,5
"3071",21,23,12,16,16,16
"3072",10,12,12,11,10,11
"3073",10,8,11,7,6,7
"3074",6,9,7,8,6,8
"3075",7,11,12,13,10,12
"3076",6,5,4,3,4,5
"3078",4,3,6,4,6,4
"3080",12,12,13,14,13,11
"3081",10,12,11,10,12,11
"3082",21,25,22,22,21,20
"3083",30,30,28,29,25,29
"3084",19,11,15,12,14,8
"3085",10,9,5,5,6,11
"3086",3,4,3,6,3,5
"3088",15,15,14,15,14,14
"3089",22,22,13,19,16,24
"3090",7,1,7,4,6,2
"3091",7,4,5,4,4,4
"3092",12,15,10,14,12,13
"3093",6,8,6,5,4,8
"3094",3,4,4,4,5,5
"3095",124,134,102,115,100,127
"3098",4,7,11,6,7,7
"3099",21,9,22,9,18,10
"3100",2,1,1,1,1,2
"3101",12,8,11,10,11,9
"3103",81,89,73,86,75,83
"3104",63,50,53,47,60,39
"3106",9,13,9,8,8,13
"3107",21,21,18,23,11,22
"3108",5,13,10,6,9,9
"3109",26,29,26,25,28,24
"3110",9,10,6,8,9,10
"3113",1,7,7,3,3,2
"3114",4,5,4,5,4,4
"3117",38,39,37,38,34,36
"3118",6,4,7,7,5,3
"3120",22,25,17,20,17,18
"3122",1,2,2,3,2,2
"3123",2,2,1,2,2,1
"3124",2,3,4,3,6,4
"3125",3,3,2,2,1,2
"3126",20,17,13,22,16,20
"3127",27,22,22,33,25,26
"3128",13,11,7,11,8,11
"3129",9,4,8,2,7,4
"3130",15,8,10,8,12,8
"3131",5,10,5,3,4,3
"3132",8,5,4,5,4,5
"3134",10,6,6,6,10,6
"3137",18,21,15,19,17,15
"3139",22,13,15,6,11,12
"3142",2,2,5,2,1,1
"3143",19,20,19,17,19,17
"3144",3,3,5,2,5,3
"3145",21,16,23,10,23,14
"3146",11,4,16,4,5,5
"3147",16,12,16,1,17,10
"3149",53,56,50,43,46,46
"3154",8,2,7,2,5,1
"3155",37,34,30,26,23,34
"3156",3,4,4,1,1,9
"3157",5,1,2,1,4,1
"3160",5,8,5,9,5,4
"3162",16,14,12,10,14,11
"3166",14,9,12,8,16,10
"3168",10,10,11,7,9,8
"3169",8,4,13,3,12,5
"3171",9,7,6,6,5,6
"3172",2,2,5,1,2,1
"3173",16,23,14,19,12,20
"3177",1,1,1,2,2,1
"3178",2,2,2,4,1,2
"3182",40,27,36,30,40,23
"3183",3,1,1,1,1,2
"3184",25,12,18,11,17,9
"3185",5,2,5,1,4,2
"3186",34,14,39,17,28,16
"3187",15,23,22,23,18,25
"3188",2,1,3,1,1,1
"3192",9,7,9,5,11,5
"3193",5,2,5,4,5,3
"3194",8,5,11,3,11,3
"3199",3,1,4,2,4,4
"3200",21,12,15,10,20,10
"3201",8,11,6,8,8,8
"3205",5,6,6,5,5,7
"3206",12,9,11,6,12,5
"3208",7,4,7,4,6,4
"3209",13,6,6,5,10,4
"3211",17,9,14,5,21,10
"3214",7,3,8,3,8,4
"3215",4,6,5,4,4,4
"3217",10,7,10,7,9,5
"3218",1,1,2,1,2,1
"3220",7,3,6,3,7,2
"3221",64,71,58,61,46,60
"3224",12,6,11,4,7,7
"3225",5,4,1,5,3,3
"3226",19,24,18,18,17,23
"3228",3,4,5,1,3,2
"3229",5,3,6,4,7,2
"3230",9,10,5,8,4,4
"3231",6,3,7,3,8,3
"3232",4,5,7,4,7,3
"3233",55,55,52,50,44,47
"3236",10,11,12,10,15,7
"3239",8,6,7,1,8,5
"3240",16,11,19,5,19,6
"3242",9,10,8,8,11,9
"3243",13,6,15,5,15,6
"3244",11,9,6,9,8,5
"3246",4,2,4,2,2,2
"3248",3,2,2,3,3,2
"3249",28,18,30,16,25,18
"3250",4,4,4,6,4,3
"3252",15,12,9,14,14,12
"3253",2,1,6,1,2,1
"3255",87,88,80,77,78,85
"3256",5,4,2,3,3,2
"3260",9,6,8,5,6,5
"3261",15,15,14,12,14,13
"3263",2,4,1,5,4,5
"3264",7,7,7,5,8,6
"3265",14,12,15,15,13,10
"3267",5,2,2,2,6,1
"3268",3,4,9,9,9,5
"3270",6,2,8,1,6,1
"3271",6,6,8,7,6,5
"3272",16,15,16,16,16,19
"3273",24,29,26,25,20,24
"3274",8,4,8,8,11,6
"3275",6,5,7,8,7,4
"3277",13,14,8,8,9,13
"3280",5,1,3,1,5,1
"3281",2,2,2,1,2,2
"3283",16,5,8,4,10,5
"3284",3,3,3,3,3,1
"3286",3,3,3,1,4,2
"3290",6,4,10,3,8,4
"3291",3,7,2,3,3,2
"3292",5,6,5,4,2,3
"3293",13,6,13,5,14,3
"3301",55,55,46,52,41,54
"3303",11,16,8,11,10,14
"3304",17,18,21,21,19,20
"3305",11,10,8,14,7,10
"3309",4,3,5,2,5,3
"3310",15,14,24,15,23,15
"3313",23,13,21,10,18,16
"3316",13,4,18,7,19,3
"3318",26,32,27,20,25,30
"3319",4,4,4,2,4,1
"3321",6,3,2,2,7,2
"3322",2,4,4,4,2,4
"3324",4,4,5,5,3,3
"3325",11,15,13,13,11,14
"3328",32,35,32,36,35,35
"3329",9,9,6,11,8,8
"3330",7,15,10,14,5,13
"3332",4,5,4,3,4,2
"3333",3,1,2,1,4,2
"3334",91,96,89,92,88,88
"3335",5,4,6,1,3,2
"3337",10,6,9,5,9,7
"3338",13,11,14,12,14,13
"3340",7,7,4,9,7,7
"3341",14,12,12,21,13,17
"3342",7,7,9,7,8,3
"3343",1,1,2,4,1,1
"3347",5,2,6,3,6,2
"3350",9,3,6,5,9,4
"3353",23,18,17,14,18,18
"3356",16,20,15,18,20,17
"3357",3,1,3,1,1,1
"3360",5,4,6,4,5,5
"3361",22,10,15,8,16,10
"3362",5,5,12,4,8,3
"3363",3,2,4,3,3,2
"3364",4,5,4,4,3,3
"3365",35,40,27,38,37,34
"3366",35,21,34,38,33,35
"3367",19,23,19,16,14,16
"3369",46,52,48,44,42,50
"3370",2,1,2,2,2,3
"3371",13,13,15,16,13,17
"3372",7,7,5,5,6,3
"3373",28,37,8,8,9,7
"3374",11,13,15,10,10,13
"3376",12,12,13,11,14,11
"3378",5,2,4,2,3,2
"3386",10,7,9,6,8,6
"3387",9,4,7,4,8,7
"3389",10,6,10,2,9,3
"3390",6,3,7,5,4,3
"3391",5,6,8,4,6,7
"3392",21,10,15,13,15,11
"3393",13,13,16,7,16,9
"3394",5,2,4,3,6,3
"3395",6,1,4,1,2,2
"3397",14,7,16,6,9,8
"3398",7,6,6,7,9,7
"3399",1,1,4,3,3,1
"3402",1,1,2,1,1,2
"3406",3,2,2,1,2,1
"3407",1,1,1,1,1,1
"3408",17,9,17,9,15,13
"3409",6,3,7,4,5,3
"3410",4,3,6,4,7,2
"3412",6,4,5,3,4,5
"3414",9,6,11,4,6,5
"3415",7,3,5,4,3,3
"3416",5,4,7,2,6,3
"3417",9,3,6,4,5,5
"3418",12,8,13,6,10,5
"3419",28,20,24,21,30,19
"3420",6,5,5,3,8,6
"3421",6,1,6,2,3,3
"3422",11,5,10,6,11,5
"3423",9,4,8,5,8,6
"3424",8,6,8,7,7,5
"3426",7,4,6,4,5,1
"3427",7,4,9,4,9,5
"3428",21,14,18,12,17,10
"3429",6,5,7,7,8,6
"3431",3,1,3,1,1,1
"3433",3,2,2,2,2,2
"3434",14,9,10,7,14,7
"3435",7,6,7,3,5,2
"3437",6,2,4,1,2,3
"3438",4,3,2,2,2,4
"3439",5,1,6,1,8,1
"3440",1,1,2,11,1,8
"3442",26,32,27,30,30,33
"3443",1,2,2,2,2,1
"3444",7,5,7,7,6,3
"3447",17,20,14,17,17,17
"3448",20,19,17,20,18,18
"3449",8,7,3,6,5,6
"3450",3,8,4,6,4,4
"3451",5,7,6,10,6,6
"3453",1,1,1,1,1,1
"3455",12,17,17,15,12,14
"3456",4,6,6,6,5,7
"3457",20,23,21,22,19,24
"3458",12,16,10,14,14,13
"3459",17,19,14,12,14,13
"3460",28,35,25,24,25,27
"3461",56,66,64,60,58,58
"3462",3,2,3,2,2,2
"3463",33,32,29,26,22,33
"3464",2,2,1,1,3,4
"3465",2,1,2,2,3,2
"3466",11,17,5,12,7,11
"3468",9,9,9,9,11,10
"3469",7,8,6,9,10,8
"3470",4,6,3,2,4,2
"3471",5,6,3,4,5,3
"3472",7,12,6,7,6,6
"3473",4,7,3,5,3,4
"3474",21,18,15,19,14,20
"3475",3,5,3,5,4,3
"3476",29,40,43,44,33,39
"3477",10,9,13,14,11,9
"3478",4,7,7,8,9,5
"3479",5,9,10,6,11,11
"3480",11,13,8,4,7,8
"3481",5,5,2,3,4,4
"3483",6,8,12,5,7,9
"3484",17,15,15,13,13,17
"3485",9,9,10,12,7,13
"3486",11,13,11,10,9,13
"3487",6,6,10,9,9,8
"3488",25,27,25,27,22,25
"3489",23,18,14,15,12,14
"3491",53,60,45,49,50,50
"3492",8,10,5,4,5,7
"3493",9,11,7,10,8,10
"3494",11,11,12,15,11,15
"3495",8,10,6,6,5,10
"3496",15,8,4,6,13,7
"3497",7,9,6,7,7,8
"3498",57,71,64,65,65,63
"3500",1,3,2,4,3,3
"3501",51,57,50,53,49,57
"3502",39,44,36,33,38,36
"3503",6,12,7,3,4,7
"3504",29,28,30,29,27,32
"3505",19,23,18,19,13,20
"3506",1,6,2,3,3,3
"3507",5,5,5,2,6,5
"3508",12,4,14,6,5,16
"3509",3,2,2,2,2,2
"3510",16,16,15,14,21,15
"3511",4,4,2,6,1,2
"3513",21,21,16,19,14,14
"3515",6,5,6,9,5,6
"3516",31,28,28,31,25,23
"3517",33,42,39,36,38,40
"3518",3,7,7,7,4,6
"3519",23,24,25,22,20,22
"3520",2,6,2,2,5,2
"3523",24,21,19,19,15,21
"3524",3,6,5,6,6,4
"3525",10,6,4,6,8,6
"3527",7,8,10,9,11,9
"3528",5,5,4,8,5,8
"3529",4,6,6,5,4,5
"3530",1,2,1,1,1,1
"3531",4,6,6,9,6,8
"3532",18,23,19,17,15,19
"3533",5,4,2,3,3,4
"3534",14,19,17,16,14,17
"3535",9,9,7,11,7,8
"3536",8,12,12,14,13,12
"3538",4,5,4,5,4,3
"3539",10,10,6,6,5,8
"3541",8,9,8,9,8,10
"3542",14,23,13,16,15,11
"3543",9,11,9,6,6,10
"3544",9,5,7,4,6,6
"3545",2,6,5,3,2,3
"3546",14,14,12,12,14,11
"3548",3,5,4,5,7,2
"3549",11,12,12,11,11,12
"3550",4,2,5,3,4,4
"3552",4,6,6,10,3,6
"3553",13,13,12,12,10,9
"3554",52,58,45,22,49,50
"3555",13,15,13,11,13,13
"3556",11,8,6,9,10,7
"3557",239,259,210,245,221,236
"3558",4,5,6,3,3,4
"3559",3,7,2,1,1,2
"3560",18,21,20,18,17,25
"3561",12,12,11,11,10,10
"3562",8,4,4,5,3,5
"3563",2,3,1,3,4,2
"3564",42,47,38,38,36,48
"3565",3,3,4,5,5,4
"3566",6,10,4,8,10,6
"3567",1,1,2,1,3,1
"3568",37,42,39,43,37,45
"3569",17,23,15,18,14,13
"3570",6,5,2,4,3,3
"3571",10,11,10,8,11,13
"3572",7,9,8,6,7,7
"3573",7,7,2,8,4,8
"3574",7,9,8,12,8,7
"3575",31,32,30,28,9,31
"3576",54,56,60,52,49,52
"3578",23,26,26,27,22,22
"3579",10,14,10,14,12,12
"3580",16,23,12,15,14,18
"3581",5,5,3,1,3,2
"3582",4,1,1,2,4,4
"3585",4,4,3,3,2,3
"3586",19,23,20,24,24,24
"3587",112,127,105,121,110,123
"3588",12,15,15,10,12,10
"3589",8,3,7,5,5,10
"3590",15,14,19,20,16,16
"3591",7,7,7,5,9,4
"3592",14,14,13,14,13,13
"3593",2,4,2,4,2,5
"3594",16,15,13,14,13,15
"3595",72,77,82,88,85,84
"3596",4,7,5,2,6,5
"3597",5,6,4,5,5,4
"3598",4,5,2,4,4,2
"3601",9,12,10,8,9,11
"3602",19,18,12,22,16,18
"3604",18,22,16,21,14,20
"3606",1,3,3,2,5,2
"3608",51,60,46,41,51,54
"3609",3,2,4,3,4,4
"3610",1,2,1,2,1,1
"3611",11,12,14,7,11,13
"3612",4,5,3,8,5,6
"3613",9,12,10,12,11,11
"3614",29,32,23,23,20,23
"3615",8,9,11,11,8,8
"3616",14,11,9,10,8,11
"3617",19,25,16,22,19,20
"3618",3,2,2,2,1,1
"3619",18,22,14,18,15,20
"3620",21,25,18,23,18,24
"3621",4,3,5,5,4,6
"3622",33,32,29,31,23,36
"3623",7,7,8,8,7,8
"3624",2,4,2,4,3,4
"3626",0,4,2,2,3,1
"3627",7,9,6,9,8,6
"3628",26,20,26,27,19,21
"3629",12,16,13,10,9,13
"3630",2,3,3,4,4,3
"3631",11,13,11,10,10,11
"3632",60,72,56,61,53,67
"3633",22,28,23,26,26,23
"3634",52,49,48,55,47,50
"3635",5,10,5,9,5,3
"3636",18,21,22,17,16,22
"3637",13,14,4,10,10,9
"3638",11,14,12,13,14,12
"3639",3,7,5,4,4,4
"3641",4,5,5,4,2,4
"3642",6,7,6,6,8,5
"3643",14,19,15,19,13,15
"3644",1,1,1,2,1,2
"3645",1,1,1,1,1,1
"3646",12,12,13,14,14,8
"3647",23,13,20,18,16,21
"3648",31,39,31,27,27,31
"3649",3,6,4,5,4,2
"3650",8,6,7,6,6,6
"3651",64,64,57,61,53,58
"3652",2,1,3,4,3,2
"3653",11,13,11,13,10,15
"3654",1,1,1,1,1,1
"3655",27,39,30,33,30,29
"3656",6,8,7,7,6,8
"3657",12,16,17,16,17,17
"3659",2,5,2,3,3,4
"3660",12,17,16,14,11,13
"3662",3,2,5,4,3,2
"3663",9,7,7,9,5,10
"3664",20,22,19,22,15,18
"3665",15,15,13,11,12,17
"3666",6,6,5,7,3,5
"3668",68,80,65,78,65,81
"3669",21,19,16,17,17,19
"3671",39,51,39,44,41,46
"3672",27,23,23,26,26,23
"3673",59,60,48,65,56,60
"3674",6,8,10,7,7,8
"3675",14,15,13,14,9,13
"3676",12,7,5,7,9,6
"3678",10,9,11,9,7,11
"3679",7,12,7,9,8,11
"3680",5,5,6,4,4,6
"3681",1,2,1,2,2,1
"3682",41,52,40,45,38,45
"3683",34,41,39,38,34,39
"3684",11,13,9,13,12,10
"3685",4,7,4,5,5,4
"3686",1,3,3,3,4,3
"3687",1,2,1,3,1,1
"3688",49,61,47,53,52,62
"3689",8,8,8,8,7,5
